K_ep,K_run,t,Trg_Action,Rot_Action,Mu,Sigma,Policy,D_perp,Tau,Tau_CR,Theta_x,V_BO_Mag,V_BO_Angle,a_BO_Mag,V_BP_Mag,V_BP_Angle,Phi_PB,Trg_Flag,Impact_Flag_Ext,Impact_Flag_OB,r_BO.x,r_BO.y,r_BO.z,V_BO.x,V_BO.y,V_BO.z,a_BO.x,a_BO.y,a_BO.z,Eul_BO.x,Eul_BO.y,Eul_BO.z,W_BO.x,W_BO.y,W_BO.z,AngAcc_BO.y,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
# DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: DEEP_RL_ONBOARD, SAR_Type: Impulse_Micro, SAR_Config: A15_L150}, LEG_SETTINGS: {L_eff: 0.169, Gamma_eff: 17, K_Pitch: 0.4, K_Yaw: 0.4}, 

0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000],  0.00,  5.00,  0.00,  2.60,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 6233.987, 0.524,-88.8,--,--,--, 0.356, 0.362, 0.191, 5.236, 2.11,  27.77,--, 2.11,  27.77,--,True,--,--, 0.00, 0.00, 0.00, 1.87, 0.06, 0.98,--,--,--,-0.15, 1.58,-0.79, 0.00,-0.73, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1714754952.681,--,0,False,False,False,0,0,0,0,    nan,   0.00,  57.60,--, 0.00,-57.60, 1044.00,False,True, 0.00, 0.00, 0.00, 1.83,  nan, 0.17,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data

