K_ep,K_run,t,Trg_Action,Rot_Action,Mu,Sigma,Policy,D_perp,Tau,Tau_CR,Theta_x,V_BO_Mag,V_BO_Angle,a_BO_Mag,V_BP_Mag,V_BP_Angle,Phi_PB,Trg_Flag,Impact_Flag_Ext,Impact_Flag_OB,r_BO.x,r_BO.y,r_BO.z,V_BO.x,V_BO.y,V_BO.z,a_BO.x,a_BO.y,a_BO.z,Eul_BO.x,Eul_BO.y,Eul_BO.z,W_BO.x,W_BO.y,W_BO.z,AngAcc_BO.y,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
# DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: DEEP_RL_ONBOARD, SAR_Type: Source_One_V5, SAR_Config: A30_L150}, LEG_SETTINGS: {L_eff: 0.161, Gamma_eff: 27, K_Pitch: 20.0, K_Yaw: 20.0}, 

0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000],  0.00,  5.10,  0.00,  2.60,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 809.139, 0.509,-89.8,--,--,--, 0.477, 0.338, 0.224, 6.723, 3.51,  23.69,--, 3.51,  23.69,--,True,--,--, 0.00, 0.00, 0.00, 3.21, 0.05, 1.41,--,--,--, 0.24, 18.79, 1.49, 0.00,-0.73, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1714747868.371,--,0,False,False,False,0,0,0,0,    nan,   0.00, -13.52,--, 0.00, 13.52, 645.00,False,True, 0.00, 0.00, 0.00,-1.46,  nan,-2.99,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00,-8.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data

