gyro.x_x,gyro.x_y,gyro.y_x,gyro.y_y,gyro.z_x,gyro.z_y
202701.,-0.476962328,202701.,45.0523834229,202701.,0.5704498291
202721.,0.0933908969,202721.,44.8149490356,202721.,0.2504301965
202741.,0.7080414295,202741.,43.8325843811,202741.,0.5206720233
202761.,1.2398492098,202761.,42.7023353577,202761.,0.4380663335
202781.,1.5642417669,202781.,41.0683135986,202781.,0.5221893787
202801.,1.8505823612,202801.,38.8696632385,202801.,0.4032486379
202821.,2.055356741,202821.,36.759803772,202821.,0.4157300293
202841.,2.2825553417,202841.,33.7877883911,202841.,0.1740550697
202861.,2.0015435219,202861.,31.1269760132,202861.,0.0457912795
202881.,1.7846256495,202881.,27.8775005341,202881.,0.0695150122
202901.,1.0452456474,202901.,24.5086040497,202901.,-0.043763835
202921.,0.8818761706,202921.,20.6661605835,202921.,0.1496497691
202941.,0.1848511547,202941.,16.8431110382,202941.,0.1288994998
202961.,-0.3074161708,202961.,12.5361833572,202961.,0.1297226548
202981.,-0.8148778677,202981.,8.482503891,202981.,-0.0407562479
203001.,-1.0759450197,203001.,3.8897135258,203001.,0.1599343717
203021.,-1.5542145967,203021.,-0.4363506138,203021.,-0.1473660767
203041.,-1.9072118998,203041.,-4.7672696114,203041.,0.1235845909
203061.,-1.5883866549,203061.,-8.6597738266,203061.,-0.2820717096
203081.,-1.2218110561,203081.,-12.6546211243,203081.,-0.1722417027
203101.,-0.8221181035,203101.,-16.5279312134,203101.,0.0736787021
203121.,-0.4844911397,203121.,-20.3003768921,203121.,-0.5288760066
203141.,0.0603906773,203141.,-24.0557632446,203141.,-0.4887998700
203161.,0.7503490448,203161.,-27.2000732422,203161.,-0.4100140035
203181.,1.3022934198,203181.,-30.9020576477,203181.,-0.7622691989
203201.,1.7678015232,203201.,-33.3848724365,203201.,-0.5900557637
203221.,2.5402288437,203221.,-35.965877533,203221.,-0.7792604566
203241.,2.4892864227,203241.,-38.0716209412,203241.,-0.5271521807
203261.,2.7571904659,203261.,-39.9115905762,203261.,-0.2965520620
203281.,2.3391745090,203281.,-41.4116516113,203281.,-0.0308970194
203301.,2.2781717777,203301.,-42.6174125671,203301.,-0.6883581877
203321.,2.0140347481,203321.,-43.1857376099,203321.,0.0236515757
203341.,1.1391174793,203341.,-43.3595008850,203341.,-0.4466181099
203361.,0.4863704443,203361.,-43.6117515564,203361.,-0.4785321057
203381.,0.2658464313,203381.,-42.4168472290,203381.,-0.3915410936
203401.,-0.3487032056,203401.,-41.6369895935,203401.,-0.150135085
203421.,-0.4471496344,203421.,-40.1625366211,203421.,-0.3975265622
203441.,-0.9166688323,203441.,-38.1521377563,203441.,-0.5469948649
203461.,-1.1537919044,203461.,-36.0678787231,203461.,-0.5453456044
203481.,-1.1040114164,203481.,-33.8355941772,203481.,-0.2462338209
203501.,-0.6793198586,203501.,-30.9412460327,203501.,-0.2506780028
203521.,-0.6201187372,203521.,-27.9706535339,203521.,-0.4128680825
203541.,-0.2493665963,203541.,-24.4063301086,203541.,-0.6838908195
203561.,0.4859882891,203561.,-20.6066112518,203561.,-0.5787519217
203581.,0.9296023846,203581.,-16.9272422791,203581.,-0.3140760362
203601.,1.3769968748,203601.,-13.0528316498,203601.,-0.4899710715
203621.,1.8468637466,203621.,-8.7704458237,203621.,-0.2841182053
203641.,2.2231054306,203641.,-5.0790433884,203641.,0.0211531948
203661.,2.3195343018,203661.,-0.3942173421,203661.,0.0002438248
203681.,2.2019405365,203681.,3.7873384953,203681.,0.2911397219
203701.,2.1061856747,203701.,7.8867206573,203701.,0.3948011100
203721.,1.6680318117,203721.,11.5054244995,203721.,0.2058387995
203741.,1.3968194723,203741.,15.8912181854,203741.,-0.0158345196
203761.,0.6579752564,203761.,19.9014587402,203761.,0.0412190631
203781.,0.4124738872,203781.,23.8152065277,203781.,0.2437606901
203801.,-0.4938262999,203801.,27.1844577789,203801.,0.0178300347
203821.,-0.9428371787,203821.,30.4536151886,203821.,0.171378091
203841.,-1.2175863981,203841.,33.4829559326,203841.,0.188431561
203861.,-1.3284937143,203861.,36.0485420227,203861.,0.2440164536
203881.,-1.5132391453,203881.,38.5092887878,203881.,0.7807897329
203901.,-1.4145780802,203901.,40.5678024292,203901.,0.4387119412
203921.,-1.169803381,203921.,41.8091468811,203921.,0.7324557304
203941.,-0.4896106124,203941.,43.3338851929,203941.,0.7650539875
203961.,-0.1390637010,203961.,44.2123298645,203961.,0.4961818159
203981.,0.4189570546,203981.,44.2443656921,203981.,0.8036919236
204001.,0.7573819160,204001.,44.1415061951,204001.,0.5258644223
204021.,1.4637511969,204021.,43.7160606384,204021.,0.346080184
204041.,1.8485109806,204041.,43.2983856201,204041.,0.1303133816
204061.,2.2050099373,204061.,41.9122428894,204061.,0.2447167933
204081.,2.0875973701,204081.,40.7491607666,204081.,0.2770890296
204101.,2.0543510914,204101.,38.3872146606,204101.,0.241617322
204121.,1.8895944357,204121.,36.2648353577,204121.,-0.0477411821
204141.,1.4589859247,204141.,33.1138725281,204141.,-0.0927673355
204161.,1.0183280706,204161.,30.5236568451,204161.,-0.2805763185
204181.,0.3258210123,204181.,27.72996521,204181.,0.0403436348
