gyro.x_x,gyro.x_y,gyro.y_x,gyro.y_y,gyro.z_x,gyro.z_y
130184.,-2.3259673119,130184.,-12.3560571671,130184.,-0.3897148669
130204.,-1.9520299435,130204.,-8.3095083237,130204.,-0.3909249604
130224.,-1.4994119406,130224.,-4.5549359322,130224.,-0.1389017552
130244.,-0.8184099197,130244.,-0.9707864523,130244.,-0.0367132686
130264.,0.2415550798,130264.,2.9579939842,130264.,0.2500286996
130284.,1.2163832188,130284.,6.8389048576,130284.,0.0917033553
130304.,2.3410432339,130304.,10.6012706757,130304.,0.4061460793
130324.,3.2062206268,130324.,13.9940242767,130324.,0.3730006516
130344.,3.9473409653,130344.,17.5639762878,130344.,0.5575905442
130364.,3.9731504917,130364.,21.3858470917,130364.,0.4625653923
130384.,4.0817732811,130384.,24.2967319489,130384.,0.3444000483
130404.,3.713337183,130404.,27.0941085815,130404.,0.3674292564
130424.,3.5572831631,130424.,30.1848831177,130424.,0.0662526712
130444.,2.3019044399,130444.,32.4783859253,130444.,0.0254187621
130464.,1.2548764944,130464.,34.9090805054,130464.,0.1774730384
130484.,0.2759343684,130484.,36.4977989197,130484.,0.0583461560
130504.,-0.7061230540,130504.,38.2522468567,130504.,0.1754327565
130524.,-1.7168936729,130524.,38.8938980103,130524.,-0.1459671557
130544.,-1.9091378450,130544.,40.1049461365,130544.,0.1880140156
130564.,-3.0975952148,130564.,40.3783569336,130564.,0.3172437251
130584.,-3.1034727097,130584.,40.2841339111,130584.,0.4011395574
130604.,-2.9557888508,130604.,40.0870819092,130604.,0.3596620858
130624.,-2.6540977955,130624.,39.3139038086,130624.,0.5264538527
130644.,-1.7934850454,130644.,38.3071823120,130644.,0.0828095227
130664.,-1.0492568016,130664.,37.1965408325,130664.,0.2475677282
130684.,-0.4906624258,130684.,35.2044982910,130684.,0.5978908539
130704.,0.5282089114,130704.,33.3288230896,130704.,0.18956846
130724.,1.5986936092,130724.,30.9848384857,130724.,0.3418665826
130744.,2.072947979,130744.,28.3116378784,130744.,0.2063445896
130764.,2.3916873932,130764.,25.4512577057,130764.,0.1635445654
130784.,2.7098772526,130784.,22.6594829559,130784.,0.0621475913
130804.,2.3817820549,130804.,18.7674999237,130804.,-0.0836358145
130824.,2.0476467609,130824.,15.3500986099,130824.,-0.4005475044
130844.,1.7468957901,130844.,11.9567632675,130844.,0.1131628230
130864.,0.7317028642,130864.,7.9341788292,130864.,0.1174284592
130884.,-0.1637960970,130884.,4.3433351517,130884.,-0.1139415652
130904.,-1.2790559530,130904.,0.3248039186,130904.,-0.1566849351
130924.,-2.0125358105,130924.,-3.4038872719,130924.,0.0233839322
130944.,-2.5843818188,130944.,-7.1559686661,130944.,-0.4289660454
130964.,-3.2906992435,130964.,-11.0610656738,130964.,-0.2764029205
130984.,-3.6117184162,130984.,-14.330780983,130984.,-0.1743427217
131004.,-3.8262276649,131004.,-17.7109298706,131004.,-0.1801013499
131024.,-3.6635153294,131024.,-20.9950485229,131024.,-0.2430604249
131044.,-2.8060708046,131044.,-23.9019584656,131044.,-0.3472664654
131064.,-1.9855307341,131064.,-27.0532245636,131064.,-0.443166703
131084.,-0.9657648802,131084.,-29.3342514038,131084.,-0.3280182481
131104.,0.0546362139,131104.,-31.9361820221,131104.,-0.1966464818
131124.,1.0046536922,131124.,-33.9856376648,131124.,-0.4842963815
131144.,2.1289532185,131144.,-35.3546638489,131144.,-0.8672097325
131164.,2.9646561146,131164.,-36.6782493591,131164.,-0.5698379278
131184.,3.3019680977,131184.,-37.9164276123,131184.,-0.4287286103
131204.,3.8523972034,131204.,-38.3420295715,131204.,-0.7153956294
131224.,3.585385561,131224.,-38.7104682922,131224.,-0.3755510747
131244.,3.5044727325,131244.,-38.6258277893,131244.,-0.1165630594
131264.,2.6332426071,131264.,-38.0805549622,131264.,-0.3619167507
131284.,2.1771972179,131284.,-37.1191635132,131284.,-0.2836858332
131304.,1.3812911510,131304.,-35.7881546021,131304.,-0.3996761441
131324.,0.1953220069,131324.,-34.5097007751,131324.,-0.2004444748
131344.,-0.4564317465,131344.,-32.6472167969,131344.,-0.4541897476
131364.,-1.4041699171,131364.,-30.4259777069,131364.,-0.4171812236
131384.,-1.9591684341,131384.,-28.060087204,131384.,-0.1928980350
131404.,-2.4311995506,131404.,-25.3312244415,131404.,-0.3771199882
131424.,-2.1615879536,131424.,-22.1700439453,131424.,-0.2368918508
131444.,-1.9653201103,131444.,-18.7392196655,131444.,-0.628097415
131464.,-1.6130133867,131464.,-15.4538068771,131464.,-0.4849947691
131484.,-0.9048428535,131484.,-11.9317817688,131484.,-0.3496555388
131504.,-0.1208634228,131504.,-8.2562503815,131504.,-0.4642852247
131524.,0.8873984814,131524.,-4.6010971069,131524.,-0.2101309896
131544.,1.7490969896,131544.,-0.4604854584,131544.,0.0454502776
131564.,2.8084697723,131564.,2.6694462299,131564.,0.0617046803
131584.,3.3076658249,131584.,6.5485444069,131584.,-0.0480603315
131604.,3.8853378296,131604.,10.7038412094,131604.,-0.0422702581
131624.,3.8945162296,131624.,13.8809137344,131624.,0.0524831377
131644.,3.9635019302,131644.,17.3685913086,131644.,0.3359750509
131664.,3.7937898636,131664.,20.8171768188,131664.,0.0852986202
131684.,2.9469394684,131684.,23.9626808167,131684.,0.2299645841
131704.,2.4766337872,131704.,26.7074222565,131704.,0.0573549457
131724.,1.3635509014,131724.,29.2678012848,131724.,0.2291372120
131744.,0.6892963648,131744.,31.8724040985,131744.,-0.0141434725
131764.,-0.1370646209,131764.,33.7725334167,131764.,0.0373578966
131784.,-1.1362082958,131784.,35.9081687927,131784.,0.324205786
131804.,-1.3805638552,131804.,37.5107383728,131804.,-0.0766098276
131824.,-1.7308452129,131824.,38.8628845215,131824.,0.2139198184
131844.,-1.7261434793,131844.,39.0986213684,131844.,0.4063055515
131864.,-1.6095610857,131864.,39.8517761230,131864.,0.2528125644
131884.,-1.2539744377,131884.,40.1724700928,131884.,0.3967979252
131904.,-0.2716159523,131904.,39.4001083374,131904.,0.4456778765
131924.,0.3961331248,131924.,38.6005897522,131924.,0.3404968083
131944.,1.2096623182,131944.,38.2533836365,131944.,0.3375595510
131964.,2.1542313099,131964.,36.0429039001,131964.,0.4249770939
131984.,2.8636794090,131984.,34.8474006653,131984.,-0.0950324088
132004.,3.2706623077,132004.,32.5753822327,132004.,0.1927605718
132024.,3.4110510349,132024.,30.7035980225,132024.,0.2218587846
132044.,3.5111091137,132044.,27.2386951447,132044.,-0.2374622375
132064.,3.5317854881,132064.,25.1664352417,132064.,-0.0386597104
132084.,2.6513402462,132084.,22.50822258,132084.,-0.0632748082
132104.,2.2521996498,132104.,18.8498630524,132104.,0.1123539358
132124.,0.9851631522,132124.,14.9511470795,132124.,-0.1622111648
132144.,0.0941317081,132144.,12.1672439575,132144.,-0.3995943964
132164.,-0.9258653522,132164.,8.43608284,132164.,-0.1991475224
132184.,-1.9973706007,132184.,4.5852313042,132184.,0.0753043219
132204.,-2.6035737991,132204.,0.3953976631,132204.,-0.1609508097
132224.,-2.9535093307,132224.,-3.0751659870,132224.,0.0866307989
132244.,-3.7083592415,132244.,-6.9646682739,132244.,0.1410674751
132264.,-3.5205829144,132264.,-10.4137773514,132264.,0.0058400524
132284.,-3.499840498,132284.,-14.2569923401,132284.,-0.4469881654
132304.,-2.9901247025,132304.,-17.0206184387,132304.,-0.5447171330
132324.,-2.0630640984,132324.,-20.6113262177,132324.,-0.0569517314
132344.,-1.1150197983,132344.,-23.7460212708,132344.,-0.7770020962
132364.,-0.3927533031,132364.,-26.6031608582,132364.,-0.688733995
132384.,0.8420571089,132384.,-29.2639846802,132384.,-0.4848659039
132404.,1.5695630312,132404.,-31.5657939911,132404.,-0.5622159839
132424.,1.8964475393,132424.,-33.0288505554,132424.,-0.3802129924
132444.,2.6333262920,132444.,-35.0641174316,132444.,-0.0217434689
132464.,2.9305968285,132464.,-36.1228752136,132464.,-0.3788532019
132484.,2.577911377,132484.,-37.1286125183,132484.,-0.1795209795
132504.,2.2973308563,132504.,-37.8981628418,132504.,-0.323345542
132524.,1.8635232449,132524.,-38.4037742615,132524.,-0.3856872022
132544.,0.9839496613,132544.,-38.0582466125,132544.,-0.3430138230
132564.,0.1773706377,132564.,-37.0070953369,132564.,0.3235218823
132584.,-0.7450269461,132584.,-36.8580703735,132584.,-0.2423379272
132604.,-1.3700637817,132604.,-35.4611701965,132604.,-0.1148871109
132624.,-2.3975219727,132624.,-34.3686256409,132624.,-0.5227672458
132644.,-2.8754620552,132644.,-32.0195388794,132644.,-0.0685479417
132664.,-3.2219877243,132664.,-29.9201889038,132664.,0.0348310769
132684.,-2.7525103092,132684.,-27.8596515656,132684.,-0.3476412594
132704.,-2.6751401424,132704.,-24.9966907501,132704.,-0.4809007943
132724.,-2.0368659496,132724.,-22.3450679779,132724.,-0.458968699
132744.,-1.4681007862,132744.,-18.7558917999,132744.,-0.4182827175
132764.,-0.5388371348,132764.,-15.6373691559,132764.,-0.2991007566
132784.,0.5406430364,132784.,-12.1098060608,132784.,-0.0749107078
132804.,1.5597779751,132804.,-7.7061052322,132804.,-0.4865780175
132824.,2.1714248657,132824.,-4.7523698807,132824.,-0.3049124181
132844.,2.9060125351,132844.,-1.0547195673,132844.,-0.1486915052
132864.,3.0322732925,132864.,2.7861015797,132864.,0.2341752350
132884.,3.4996962547,132884.,6.6819720268,132884.,0.082520172
132904.,3.0299429893,132904.,10.2433233261,132904.,0.012070667
132924.,2.6096165180,132924.,13.7038497925,132924.,0.1192423478
132944.,2.0603220463,132944.,17.1934490204,132944.,0.0864216909
132964.,1.1715766191,132964.,20.7652568817,132964.,-0.1221592724
132984.,0.5160809159,132984.,23.5608997345,132984.,-0.2643080652
133004.,-0.0188345611,133004.,26.2585582733,133004.,0.2026716173
133024.,-0.8453248143,133024.,28.8643646240,133024.,0.0776251182
133044.,-1.4666683674,133044.,31.2649307251,133044.,-0.0556588322
133064.,-1.7070559263,133064.,33.7658424377,133064.,0.0541071147
133084.,-1.8209724426,133084.,35.6212882996,133084.,0.5530692339
133104.,-1.5760573149,133104.,36.8880577087,133104.,0.0475114323
133124.,-1.4008587599,133124.,38.4030380249,133124.,0.609708488
133144.,-0.7731317282,133144.,38.6698722839,133144.,0.6278361082
133164.,0.3422826529,133164.,39.2296447754,133164.,0.6658091545
133184.,1.0105273724,133184.,39.6430549622,133184.,0.4857912064
133204.,2.1268675327,133204.,38.9808616638,133204.,0.4803292453
