gyro.x_x,gyro.x_y,gyro.y_x,gyro.y_y,gyro.z_x,gyro.z_y
479902.,-0.0220579803,479902.,9.9905109406,479902.,0.2908708751
479922.,0.3205277622,479922.,10.9319028854,479922.,0.3619882762
479942.,0.3401047885,479942.,12.1218414307,479942.,0.3550521135
479962.,0.6971877217,479962.,12.9740438461,479962.,0.1459320188
479982.,0.6685006022,479982.,13.2925319672,479982.,0.1610273719
480002.,0.6841140985,480002.,13.1483650208,480002.,0.0214339998
480022.,1.0471899509,480022.,13.5560197830,480022.,0.4268208742
480042.,1.4981161356,480042.,13.4313573837,480042.,0.0804945454
480062.,1.4272719622,480062.,12.6990938187,480062.,0.4504483640
480082.,1.5992765427,480082.,12.2292985916,480082.,0.2894283831
480102.,1.7124655247,480102.,11.7599935532,480102.,0.2124082893
480122.,1.1396746635,480122.,10.5331735611,480122.,0.2638084590
480142.,1.415825367,480142.,9.5917329788,480142.,0.0275212694
480162.,1.1394841671,480162.,7.7783870697,480162.,-0.3894336522
480182.,0.8524650931,480182.,6.7725133896,480182.,0.314678371
480202.,0.3006841540,480202.,5.0425038338,480202.,-0.4518337548
480222.,0.4302681983,480222.,3.6476020813,480222.,0.1248318180
480242.,0.0473092571,480242.,1.5793795586,480242.,-0.3079398572
480262.,-0.1123636514,480262.,-0.1158240438,480262.,0.1099663898
480282.,-0.1075805873,480282.,-1.9329811335,480282.,0.0542002432
480302.,-0.1856995374,480302.,-3.7441356182,480302.,-0.0368476994
480322.,-0.2883880734,480322.,-5.4638729095,480322.,-0.2004938722
480342.,0.008412892,480342.,-6.996776104,480342.,-0.4395698011
480362.,0.0028605764,480362.,-8.5421609879,480362.,0.1947779357
480382.,-0.3299887776,480382.,-9.7669897079,480382.,0.0543519557
480402.,-0.1304641813,480402.,-10.8285417557,480402.,0.2229250968
480422.,0.3487352729,480422.,-12.3170795441,480422.,0.1125909984
480442.,0.4385013878,480442.,-13.3936614990,480442.,-0.1114769503
480462.,0.3146604002,480462.,-13.7277841568,480462.,-0.1619434655
480482.,0.3728165329,480482.,-14.3205394745,480482.,-0.0047806269
480502.,0.2775030136,480502.,-14.5182971954,480502.,0.1043478176
480522.,0.1660718918,480522.,-14.8528690338,480522.,0.2685663402
