gyro.x_x,gyro.x_y,gyro.y_x,gyro.y_y,gyro.z_x,gyro.z_y
559150.,0.7569001317,559150.,-18.5979862213,559150.,-0.0363131464
559170.,0.3513737619,559170.,-16.2438850403,559170.,0.1051097959
559190.,-0.0903843045,559190.,-13.0088844299,559190.,0.1909301728
559210.,-0.2255571932,559210.,-10.3414955139,559210.,0.1626408547
559230.,-0.9157230258,559230.,-7.3489313126,559230.,-0.1605953574
559250.,-0.9380538464,559250.,-4.1082949638,559250.,0.0424110107
559270.,-1.3636330366,559270.,-0.6912797093,559270.,-0.0861635804
559290.,-1.6535261869,559290.,2.1687252522,559290.,-0.3707906008
559310.,-1.5005865097,559310.,4.9491457939,559310.,0.3018026948
559330.,-1.3841573,559330.,7.8803057671,559330.,0.214507401
559350.,-1.1496119499,559350.,11.2800607681,559350.,-0.0504514463
559370.,-0.8905392289,559370.,13.844039917,559370.,0.4823149443
559390.,-0.5161876678,559390.,16.6150894165,559390.,0.3654830754
559410.,0.059224166,559410.,19.5415992737,559410.,0.4339177310
559430.,0.1634456217,559430.,21.9994068146,559430.,0.7143497467
559450.,0.9432424903,559450.,24.2708854675,559450.,0.3405518234
559470.,1.1099582911,559470.,26.4508571625,559470.,0.5286095142
559490.,1.3246335983,559490.,28.5019245148,559490.,0.1742493063
559510.,1.3636288643,559510.,30.1528759003,559510.,0.2890369296
559530.,1.632745266,559530.,32.2236442566,559530.,0.1930872649
559550.,1.6803987026,559550.,33.2622489929,559550.,0.1247087792
559570.,1.3644249439,559570.,34.8799171448,559570.,0.7519413233
559590.,0.8877310753,559590.,35.6718521118,559590.,0.0471105278
559610.,0.7289586663,559610.,36.6698875427,559610.,0.0338046886
559630.,0.3738150597,559630.,36.6700248718,559630.,0.7190736532
559650.,-0.2456203699,559650.,37.0252151489,559650.,0.1781616211
559670.,-0.4325861037,559670.,37.0281410217,559670.,0.5838753581
559690.,-0.7373375893,559690.,36.4558525085,559690.,0.1864814013
559710.,-1.2573584318,559710.,36.4257316589,559710.,-0.0209017377
559730.,-1.4728114605,559730.,34.9465637207,559730.,0.2353688776
559750.,-1.5999975204,559750.,34.2291831970,559750.,0.2422672659
559770.,-1.4667938948,559770.,33.0655441284,559770.,0.4326037765
559790.,-1.6196006536,559790.,30.8512096405,559790.,0.3372595310
559810.,-0.8346679807,559810.,29.9721717834,559810.,0.0988987535
559830.,-0.6082753539,559830.,28.1194133759,559830.,0.4391162395
559850.,-0.2341661453,559850.,25.9906253815,559850.,0.1252924651
559870.,0.2909415364,559870.,23.9588336945,559870.,0.2235282212
559890.,0.6415056586,559890.,21.0737743378,559890.,0.1816202551
559910.,0.8255873322,559910.,18.0873794556,559910.,-0.0417996719
559930.,0.8517993689,559930.,15.7109479904,559930.,-0.1336411983
559950.,0.6372780204,559950.,12.6389436722,559950.,0.1553375721
559970.,1.0502457619,559970.,9.8598508835,559970.,0.0266020633
559990.,1.1076529026,559990.,7.2022843361,559990.,0.5674766302
