gyro.x_x,gyro.x_y,gyro.y_x,gyro.y_y,gyro.z_x,gyro.z_y
1215382.,9.5931425095,1215382.,144.3024444580,1215382.,4.9263410568
1215402.,12.1169271469,1215402.,146.9298095703,1215402.,5.3415336609
1215422.,12.7432365417,1215422.,146.2324523926,1215422.,5.1120858192
1215442.,12.115521431,1215442.,141.6212768555,1215442.,5.0436935425
1215462.,9.9779415131,1215462.,132.9794006348,1215462.,4.5885548592
1215482.,6.1013760567,1215482.,121.2986450195,1215482.,4.4803233147
1215502.,2.7709400654,1215502.,106.5316696167,1215502.,4.3979606628
1215522.,0.0778646693,1215522.,88.761177063,1215522.,3.8330698013
1215542.,-1.1186702251,1215542.,68.9313964844,1215542.,3.2622332573
1215562.,-0.9533597827,1215562.,48.2994308472,1215562.,2.4103455544
1215582.,0.6849561334,1215582.,25.1352081299,1215582.,1.5244563818
1215602.,3.0246083736,1215602.,1.6785770655,1215602.,0.5711078048
1215622.,4.2681646347,1215622.,-21.6720733643,1215622.,-0.3128729761
1215642.,4.770236969,1215642.,-44.2250328064,1215642.,-1.7456685305
1215662.,3.7052323818,1215662.,-66.334274292,1215662.,-2.1615536213
1215682.,0.7292529941,1215682.,-86.349395752,1215682.,-2.7279784679
1215702.,-2.7393236160,1215702.,-103.8042449951,1215702.,-3.5921876431
1215722.,-6.1616587639,1215722.,-118.8503189087,1215722.,-4.1765298843
1215742.,-8.7293529510,1215742.,-130.8709564209,1215742.,-4.5088481903
1215762.,-9.5828046799,1215762.,-139.7868652344,1215762.,-5.1442961693
1215782.,-9.0828876495,1215782.,-144.6020050049,1215782.,-5.1046733856
1215802.,-7.2027659416,1215802.,-145.5891113281,1215802.,-5.0576643944
1215822.,-5.1954545975,1215822.,-143.0956420898,1215822.,-4.7818622589
1215842.,-3.2794735432,1215842.,-136.5166778564,1215842.,-4.2539396286
1215862.,-2.3010041714,1215862.,-126.8065109253,1215862.,-2.9674813747
1215882.,-3.3785536289,1215882.,-113.4154281616,1215882.,-2.3911771774
1215902.,-5.4046726227,1215902.,-97.1708450317,1215902.,-1.3249628544
1215922.,-7.9594879150,1215922.,-78.1301116943,1215922.,-0.6176676750
1215942.,-10.5663261414,1215942.,-57.7725486755,1215942.,-0.0484761372
1215962.,-11.802148819,1215962.,-35.5922622681,1215962.,0.5772015452
1215982.,-11.6179075241,1215982.,-12.5762939453,1215982.,1.4423812628
1216002.,-10.3185787201,1216002.,10.4967470169,1216002.,2.5793101788
1216022.,-7.5087294579,1216022.,33.2203865051,1216022.,3.0541462898
1216042.,-4.5347318649,1216042.,55.1877822876,1216042.,3.9833610058
1216062.,-1.9000625610,1216062.,75.9981994629,1216062.,4.7608356476
1216082.,-0.5151597857,1216082.,94.5822372437,1216082.,4.7354817390
1216102.,-0.7301670313,1216102.,111.3263931274,1216102.,4.4878425598
1216122.,-2.028673172,1216122.,124.6639175415,1216122.,5.1807832718
1216142.,-3.7954387665,1216142.,135.0393218994,1216142.,4.6344852448
1216162.,-4.9937300682,1216162.,141.5575561523,1216162.,4.7224302292
1216182.,-5.2487053871,1216182.,144.4463500977,1216182.,4.9151124954
1216202.,-4.4197158813,1216202.,143.4939117432,1216202.,5.1922850609
1216222.,-1.9047937393,1216222.,138.6762695312,1216222.,4.8316259384
1216242.,1.4900058508,1216242.,130.280166626,1216242.,5.3540835381
1216262.,4.5368580818,1216262.,119.0663604736,1216262.,4.2521147728
1216282.,7.1389651299,1216282.,103.7428588867,1216282.,4.2684845924
1216302.,8.2254676819,1216302.,86.532119751,1216302.,3.4569685459
1216322.,7.7504448891,1216322.,67.3810119629,1216322.,3.0640909672
1216342.,6.2172074318,1216342.,46.0933952332,1216342.,2.6220166683
1216362.,4.3241295815,1216362.,23.7691116333,1216362.,2.7663233280
1216382.,2.4540872574,1216382.,0.6278305054,1216382.,1.5767216682
1216402.,1.9321727753,1216402.,-22.5009040833,1216402.,1.9671988487
1216422.,2.6992912292,1216422.,-44.7082023621,1216422.,0.2765174210
1216442.,4.5824828148,1216442.,-66.043258667,1216442.,0.0543801971
1216462.,7.0375475883,1216462.,-85.4547653198,1216462.,-1.0874741077
1216482.,9.6507616043,1216482.,-102.7526550293,1216482.,-2.094455719
1216502.,11.4039440155,1216502.,-117.6013870239,1216502.,-2.1066486835
1216522.,11.4392900467,1216522.,-129.1387023926,1216522.,-3.1867339611
1216542.,10.4256172180,1216542.,-137.3265380859,1216542.,-3.5310685635
1216562.,8.2756137848,1216562.,-142.1765899658,1216562.,-3.5085749626
1216582.,5.6874041557,1216582.,-143.1984710693,1216582.,-4.5781316757
1216602.,3.7850325108,1216602.,-139.9387207031,1216602.,-4.8258972168
1216622.,2.3562581539,1216622.,-133.4066314697,1216622.,-5.0666537285
1216642.,2.8152675629,1216642.,-123.8538208008,1216642.,-5.318171978
1216662.,3.8980939388,1216662.,-110.4106369019,1216662.,-4.9435639381
1216682.,5.2806043625,1216682.,-94.1561431885,1216682.,-4.2506246567
