gyro.x_x,gyro.x_y,gyro.y_x,gyro.y_y,gyro.z_x,gyro.z_y
1082442.,-0.1923363209,1082442.,-76.8389358521,1082442.,-2.1918725967
1082462.,1.4281668663,1082462.,-55.505607605,1082462.,-2.0164864063
1082482.,2.4986517429,1082482.,-33.0093078613,1082482.,-1.3848178387
1082502.,3.6037249565,1082502.,-9.0042810440,1082502.,-0.7124456167
1082522.,3.6739828587,1082522.,14.9000558853,1082522.,-0.0208874866
1082542.,3.6517071724,1082542.,38.8874168396,1082542.,0.4625405371
1082562.,3.7101409435,1082562.,61.0676078796,1082562.,1.1004104614
1082582.,3.7228007317,1082582.,81.7758407593,1082582.,1.8669190407
1082602.,3.9466474056,1082602.,99.4234008789,1082602.,2.4959526062
1082622.,4.3756947517,1082622.,114.5369873047,1082622.,2.9392940998
1082642.,5.2403879166,1082642.,125.5757293701,1082642.,3.5222787857
1082662.,5.6624336243,1082662.,133.0344238281,1082662.,4.2919464111
1082682.,6.2491006851,1082682.,135.9318847656,1082682.,4.4072022438
1082702.,6.4831495285,1082702.,135.0728759766,1082702.,4.3251156807
1082722.,6.2857928276,1082722.,129.645980835,1082722.,4.468726635
1082742.,5.5807929039,1082742.,119.9700927734,1082742.,4.2605500221
1082762.,5.1053643227,1082762.,106.7941436768,1082762.,4.3787946701
1082782.,4.4770836830,1082782.,89.8336791992,1082782.,4.0665807724
1082802.,4.0377492905,1082802.,70.4142150879,1082802.,3.5072050095
1082822.,4.410171032,1082822.,49.1459960938,1082822.,3.0835249424
1082842.,4.4361643791,1082842.,25.7539501190,1082842.,2.2385208607
