gyro.x_x,gyro.x_y,gyro.y_x,gyro.y_y,gyro.z_x,gyro.z_y
675202.,57.9531707764,675202.,-8.0166931152,675202.,0.0052550831
675222.,77.5494537354,675222.,-5.5557947159,675222.,0.5847902894
675242.,95.4916152954,675242.,-3.4159619808,675242.,1.0657707453
675262.,111.4928436279,675262.,-1.2092255354,675262.,1.8038389683
675282.,125.2412643433,675282.,-0.0085668117,675282.,2.5177929401
675302.,135.9901580811,675302.,-0.0982772484,675302.,3.4171154499
675322.,144.3787689209,675322.,-1.7315262556,675322.,4.1692643166
675342.,149.3807373047,675342.,-4.1759305000,675342.,4.7353816032
675362.,151.2258911133,675362.,-5.7308897972,675362.,4.9861054420
675382.,149.5960845947,675382.,-7.0377473831,675382.,5.2703518867
675402.,145.1094360352,675402.,-7.2697324753,675402.,4.3444328308
675422.,137.5515594482,675422.,-6.5318484306,675422.,4.7350034714
675442.,127.0115737915,675442.,-3.9702572823,675442.,3.6685514450
675462.,113.5645065308,675462.,-1.2697778940,675462.,3.6230685711
675482.,98.0877456665,675482.,0.681155324,675482.,3.1467831135
675502.,80.0511856079,675502.,2.9116375446,675502.,2.2873287201
675522.,60.8321723938,675522.,3.4910175800,675522.,1.8561775684
675542.,40.7089157104,675542.,2.9581391811,675542.,1.0285754204
675562.,19.4154701233,675562.,2.1088094711,675562.,0.1192717329
675582.,-2.1449079514,675582.,0.2381652892,675582.,-0.860829711
675602.,-23.6214523315,675602.,-1.0922241211,675602.,-1.5672158003
675622.,-45.0474586487,675622.,-1.2856260538,675622.,-2.8889596462
675642.,-65.1301727295,675642.,-0.8733664751,675642.,-2.9295535088
675662.,-83.8411483765,675662.,1.5390063524,675662.,-3.8902432919
675682.,-100.8181838989,675682.,4.0878772736,675682.,-3.7896561623
675702.,-115.9875869751,675702.,6.7879567146,675702.,-4.2390398979
675722.,-128.8556823730,675722.,9.1238126755,675722.,-4.7077760696
675742.,-138.4997711182,675742.,10.3438091278,675742.,-4.5652217865
675762.,-145.2339019775,675762.,9.7634010315,675762.,-5.2352519035
675782.,-149.0481567383,675782.,8.3116941452,675782.,-4.9553046227
675802.,-149.4997406006,675802.,6.7346796989,675802.,-4.8571200371
675822.,-147.1697845459,675822.,4.3871951103,675822.,-4.3091015816
675842.,-141.2857666016,675842.,3.1388399601,675842.,-3.8596823215
675862.,-132.2208862305,675862.,2.4266471863,675862.,-3.0562343597
675882.,-121.3106918335,675882.,3.0958230495,675882.,-2.397916317
675902.,-107.1812133789,675902.,4.3936429024,675902.,-1.5890100002
675922.,-90.8743057251,675922.,5.8112068176,675922.,-1.259711504
675942.,-72.8936691284,675942.,7.4113078117,675942.,-0.6518390179
675962.,-52.9367523193,675962.,7.9676322937,675962.,-0.2367122173
675982.,-32.4341354370,675982.,7.0272388458,675982.,0.1928577423
676002.,-10.9916372299,676002.,5.6878156662,676002.,0.9217005372
676022.,10.4410057068,676022.,3.0830748081,676022.,1.1623580456
676042.,31.8453617096,676042.,0.0742559358,676042.,1.7736666203
676062.,52.3478965759,676062.,-1.6881906986,676062.,2.1056954861
676082.,72.2393569946,676082.,-2.7642409801,676082.,2.6614592075
676102.,90.4762573242,676102.,-3.2291383743,676102.,2.8907821178
676122.,106.2617263794,676122.,-2.4518382549,676122.,2.7636277676
676142.,120.3607635498,676142.,-0.7402539849,676142.,3.5863642693
676162.,131.9662170410,676162.,0.7538189292,676162.,3.6131067276
676182.,140.3599853516,676182.,1.8306697607,676182.,3.8261303902
676202.,146.0532684326,676202.,1.7417418957,676202.,4.5317687988
676222.,148.536605835,676222.,0.9325231314,676222.,4.8274254799
676242.,147.9861907959,676242.,-1.2449710369,676242.,5.1538167
676262.,144.0671081543,676262.,-3.2651681900,676262.,4.9851851463
676282.,136.9713287354,676282.,-5.4043569565,676282.,5.0734658241
676302.,126.9698104858,676302.,-6.8657536507,676302.,4.5052680969
676322.,114.6911773682,676322.,-7.2599220276,676322.,4.1559424400
676342.,99.8433837891,676342.,-6.4961156845,676342.,4.1588754654
676362.,82.5578460693,676362.,-5.0047950745,676362.,3.6141057014
676382.,64.1234893799,676382.,-3.3118262291,676382.,2.9620263577
676402.,43.9094734192,676402.,-1.9729019403,676402.,2.8122882843
676422.,23.047164917,676422.,-1.1786546707,676422.,2.6044514179
676442.,1.7688045502,676442.,-1.1667784452,676442.,1.6801426411
676462.,-19.3604221344,676462.,-2.2079894543,676462.,0.9816951752
676482.,-40.2579879761,676482.,-4.2975420952,676482.,0.2550815642
676502.,-60.3957939148,676502.,-5.6998634338,676502.,-0.4090396166
676522.,-79.0732727051,676522.,-7.1952652931,676522.,-1.4558519125
676542.,-96.2315979004,676542.,-7.8889851570,676542.,-2.0685245991
676562.,-111.6369476318,676562.,-7.2857708931,676562.,-2.4527254105
676582.,-124.2858276367,676582.,-5.4845743179,676582.,-3.0232512951
676602.,-134.2819824219,676602.,-3.4868228436,676602.,-3.070278883
676622.,-141.6942596436,676622.,-1.4991391897,676622.,-3.6592662334
676642.,-146.2723846436,676642.,0.0048568249,676642.,-4.1792283058
676662.,-147.1926422119,676662.,0.6765006781,676662.,-4.3595376015
676682.,-145.3955688477,676682.,0.4103173614,676682.,-4.6657447815
676702.,-140.00340271,676702.,-0.7057301402,676702.,-4.5525302887
676722.,-131.9983520508,676722.,-1.5414385796,676722.,-4.16289711
676742.,-120.7753982544,676742.,-2.8935723305,676742.,-3.7656652927
676762.,-107.5679092407,676762.,-3.1658887863,676762.,-3.5252592564
676782.,-91.9525527954,676782.,-2.9263226986,676782.,-2.3660783768
676802.,-74.4184265137,676802.,-1.4807661772,676802.,-1.8664844036
676822.,-55.2612800598,676822.,0.8702340722,676822.,-1.3151904345
676842.,-34.8686714172,676842.,2.5390219688,676842.,-0.8063448668
676862.,-14.0024881363,676862.,4.0215420723,676862.,-0.2104972452
676882.,7.1818776131,676882.,4.8067493439,676882.,0.6843863726
676902.,28.0769615173,676902.,4.5540418625,676902.,1.3886537552
676922.,48.6490058899,676922.,3.7357265949,676922.,2.1451904774
676942.,68.1301574707,676942.,1.7484714985,676942.,2.7830998898
676962.,85.6664657593,676962.,0.1869487762,676962.,3.6570982933
676982.,102.4048614502,676982.,-0.4878817201,676982.,3.8165407181
677002.,116.6219100952,677002.,-0.8580695987,677002.,3.9584145546
677022.,128.3057250977,677022.,-0.1768738031,677022.,4.2198748589
677042.,137.0043792725,677042.,1.4867920876,677042.,4.1920647621
677062.,143.1604766846,677062.,3.2764589787,677062.,3.9481515884
677082.,146.0310668945,677082.,5.0846543312,677082.,4.3995161057
677102.,145.9424591064,677102.,6.2425832748,677102.,4.2564506531
677122.,142.7717437744,677122.,6.1612806320,677122.,4.3478426933
677142.,136.2736663818,677142.,5.5744738579,677142.,3.7347741127
677162.,127.4287414551,677162.,3.8919570446,677162.,3.4626533985
677182.,115.4076004028,677182.,2.6565148830,677182.,2.8886344433
677202.,101.1394195557,677202.,0.8856593370,677202.,2.0461852551
677222.,84.9539184570,677222.,0.7249516249,677222.,1.4863643646
677242.,66.6435928345,677242.,0.7537995577,677242.,0.8297233582
677262.,47.4336166382,677262.,2.2272257805,677262.,0.0327945687
677282.,27.0397071838,677282.,3.5849537849,677282.,-0.727426827
677302.,6.1374254227,677302.,5.2160911560,677302.,-1.1357049942
677322.,-15.1081085205,677322.,6.2236366272,677322.,-1.4199768305
677342.,-35.6228637695,677342.,6.8671751022,677342.,-2.0316953659
677362.,-55.3696403503,677362.,6.0855364799,677362.,-2.7450473309
