K_ep,K_run,t,Trg_Action,Rot_Action,Mu,Sigma,Policy,D_perp,Tau,Tau_CR,Theta_x,V_BO_Mag,V_BO_Angle,a_BO_Mag,V_BP_Mag,V_BP_Angle,Phi_PB,Trg_Flag,Impact_Flag_Ext,Impact_Flag_OB,r_BO.x,r_BO.y,r_BO.z,V_BO.x,V_BO.y,V_BO.z,a_BO.x,a_BO.y,a_BO.z,Eul_BO.x,Eul_BO.y,Eul_BO.z,W_BO.x,W_BO.y,W_BO.z,AngAcc_BO.y,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
# DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: DEEP_RL_ONBOARD, SAR_Type: Source_One_V5, SAR_Config: A15_L250}, LEG_SETTINGS: {L_eff: 0.264, Gamma_eff: 14, K_Pitch: 20.0, K_Yaw: 20.0}, 

0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000], 45.00,  6.12,  0.00,  2.53,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 11797.514, 0.505,-77.8,--,--,--, 0.528, 0.462, 0.231, 0.950, 1.25,  21.26,--, 1.25,  66.26,--,True,--,--, 0.00, 0.00, 0.00, 1.16, 0.07, 0.45,--,--,--,-1.24, 4.16, 3.45, 0.00, 0.41, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1714938368.401,--,0,False,False,False,0,0,0,0,    nan,   0.00, 105.90,--, 0.00,-60.90, 492.00,False,True, 0.00, 0.00, 0.00, 0.62,  nan, 0.24,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00,-5.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data


0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000], 45.00,  6.12,  0.00,  2.53,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 11913.974, 0.501,-88.9,--,--,--, 0.904, 0.399, 0.283, 1.390, 2.59,  15.92,--, 2.59,  60.92,--,True,--,--, 0.00, 0.00, 0.00, 2.49,-0.04, 0.71,--,--,--, 1.45,-0.54, 4.91, 0.00, 0.81, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1714938368.401,--,0,False,False,False,0,0,0,0,    nan,   0.00, 182.76,--, 0.00,-137.76, 582.00,False,True, 0.00, 0.00, 0.00, 2.02,  nan, 0.82,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00,-4.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data

