K_ep,K_run,t,Trg_Action,Rot_Action,Mu,Sigma,Policy,D_perp,Tau,Tau_CR,Theta_x,V_BO_Mag,V_BO_Angle,a_BO_Mag,V_BP_Mag,V_BP_Angle,Phi_PB,Trg_Flag,Impact_Flag_Ext,Impact_Flag_OB,r_BO.x,r_BO.y,r_BO.z,V_BO.x,V_BO.y,V_BO.z,a_BO.x,a_BO.y,a_BO.z,Eul_BO.x,Eul_BO.y,Eul_BO.z,W_BO.x,W_BO.y,W_BO.z,AngAcc_BO.y,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
# DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: DEEP_RL_ONBOARD, SAR_Type: Impulse_Micro, SAR_Config: A15_L150}, LEG_SETTINGS: {L_eff: 0.169, Gamma_eff: 17, K_Pitch: 0.4, K_Yaw: 0.4}, 

0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000],  0.00,  4.80,  0.00,  2.62,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 12685.080, 0.509,-87.7,--,--,--, 0.519, 0.397, 0.268, 1.194, 1.45,  64.62,--, 1.45,  64.62,--,True,--,--, 0.00, 0.00, 0.00, 0.62, 0.10, 1.31,--,--,--,-0.12, 10.96, 1.26, 0.00,-0.06, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1714754952.681,--,0,False,False,False,0,0,0,0,    nan,   0.00, 161.32,--, 0.00,-161.32, 939.00,False,True, 0.00, 0.00, 0.00, 2.42,  nan,-1.48,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00,-8.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data

