K_ep,K_run,t,Trg_Action,Rot_Action,Mu,Sigma,Policy,D_perp,Tau,Tau_CR,Theta_x,V_BO_Mag,V_BO_Angle,a_BO_Mag,V_BP_Mag,V_BP_Angle,Phi_PB,Trg_Flag,Impact_Flag_Ext,Impact_Flag_OB,r_BO.x,r_BO.y,r_BO.z,V_BO.x,V_BO.y,V_BO.z,a_BO.x,a_BO.y,a_BO.z,Eul_BO.x,Eul_BO.y,Eul_BO.z,W_BO.x,W_BO.y,W_BO.z,AngAcc_BO.y,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
# DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: DEEP_RL_ONBOARD, SAR_Type: Source_One_V5, SAR_Config: A30_L150}, LEG_SETTINGS: {L_eff: 0.161, Gamma_eff: 27, K_Pitch: 20.0, K_Yaw: 20.0}, 

0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000], 90.00,  6.71,  0.00,  2.70,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 11212.553, 0.502,-35.3,--,--,--, 0.486, 0.475, 0.318,-4.399, 2.37,  64.47,--, 2.37, 154.47,--,True,--,--, 0.00, 0.00, 0.00, 1.02,-0.09, 2.14,--,--,--, 4.79, 4.16,-0.78, 0.00, 0.14, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1714998523.849,--,0,False,False,False,0,0,0,0,    nan,   0.00, 135.43,--, 0.00,-45.43, 516.00,False,True, 0.00, 0.00, 0.00,-0.17,  nan, 0.81,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data

