K_ep,K_run,t,Trg_Action,Rot_Action,Mu,Sigma,Policy,D_perp,Tau,Tau_CR,Theta_x,V_BO_Mag,V_BO_Angle,a_BO_Mag,V_BP_Mag,V_BP_Angle,Phi_PB,Trg_Flag,Impact_Flag_Ext,Impact_Flag_OB,r_BO.x,r_BO.y,r_BO.z,V_BO.x,V_BO.y,V_BO.z,a_BO.x,a_BO.y,a_BO.z,Eul_BO.x,Eul_BO.y,Eul_BO.z,W_BO.x,W_BO.y,W_BO.z,AngAcc_BO.y,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
# DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: DEEP_RL_ONBOARD, SAR_Type: Impulse_Micro, SAR_Config: A30_L100}, LEG_SETTINGS: {L_eff: 0.118, Gamma_eff: 30, K_Pitch: 0.4, K_Yaw: 0.4}, 
0,0, 9235.134,-1.000,-80.8,--,--,--, 1.225, 5.000, 5.000, 0.930, 1.18,   2.05, 0.73, 1.14,   1.94,-21.85,False,False,False, 0.31,-0.16, 1.37, 1.18, 0.04, 0.04, 0.00, 0.00, 0.00,-0.29, 21.85,-1.02, 0.06, 0.56, 0.00, 9.90, 539.755,-0.238,-0.005, 0.018, 0.31,-0.10, 1.47, 1.26, 0.00, 0.00, 3.00, 0.00, 0.00,--
0,0, 9235.193, 1.000,-80.7,--,--,--, 1.224, 5.000, 5.000, 1.074, 1.38,   2.11, 0.38, 1.32,   2.27,-23.47,False,False,False, 0.39,-0.16, 1.38, 1.38, 0.04, 0.05, 0.00, 0.00, 0.00,-0.49, 23.47,-0.75,-0.12, 0.37, 0.00,-6.00, 540.571,-0.274,-0.305, 0.002, 0.56,-0.10, 1.47, 1.53, 0.00, 0.00, 2.50, 0.00, 0.00,--
0,0, 9235.227,-1.000,-80.6,--,--,--, 1.223, 5.000, 5.000, 1.217, 1.52,   1.65, 0.26, 1.49,   1.76,-23.96,False,False,False, 0.46,-0.17, 1.38, 1.52, 0.04, 0.04, 0.00, 0.00, 0.00,-0.71, 23.96,-0.47,-0.11,-0.04, 0.00,-16.20, 540.571,-0.274,-0.305, 0.002, 0.56,-0.10, 1.47, 1.53, 0.00, 0.00, 2.50, 0.00, 0.00,--
0,0, 9235.274,-1.000,-80.4,--,--,--, 1.222, 5.000, 5.000, 1.358, 1.66,   1.10, 0.04, 1.66,   1.13,-23.80,False,False,False, 0.52,-0.17, 1.38, 1.66, 0.05, 0.03, 0.00, 0.00, 0.00,-1.09, 23.80,-0.23,-0.18,-0.32, 0.00, 3.40, 517.533, 0.297,-0.326,-0.028, 0.68,-0.10, 1.47, 1.76, 0.00, 0.00, 2.00, 0.00, 0.00,--
0,0, 9235.334, 1.000,-80.0,--,--,--, 1.223, 5.000, 5.000, 1.488, 1.85,   0.12,-0.05, 1.82,   0.33,-21.86,False,False,False, 0.63,-0.17, 1.38, 1.85, 0.05, 0.00, 0.00, 0.00, 0.00,-1.34, 21.86, 0.23,-0.05,-0.87, 0.00,-7.40, 517.533, 0.297,-0.326,-0.028, 0.68,-0.10, 1.47, 1.76, 0.00, 0.00, 2.00, 0.00, 0.00,--
0,0, 9235.373,-1.000,0.0,--,--,--, 1.226, 0.000,-5.000, 1.598, 1.96,  -0.35,-0.14, 1.96,  -0.36,-19.77,False,False,False, 0.72,-0.17, 1.37, 1.96, 0.05,-0.01, 0.00, 0.00, 0.00,-1.51, 19.77, 0.38,-0.06,-0.96, 0.00,-2.60, 514.475, 0.124, 1.303,-0.019, 0.85,-0.10, 1.47, 1.93, 0.00, 0.00, 1.50, 0.00, 0.00,--
0,0, 9235.430,-1.000,-90.0,--,--,--, 1.229, 0.000,-5.000, 1.695, 2.11,  -0.57, 0.35, 2.09,  -0.59,-16.40,False,False,False, 0.85,-0.17, 1.37, 2.11, 0.06,-0.02, 0.00, 0.00, 0.00,-1.53, 16.40, 0.58,-0.02,-1.04, 0.00, 1.20, 514.475, 0.124, 1.303,-0.019, 0.85,-0.10, 1.47, 1.93, 0.00, 0.00, 1.50, 0.00, 0.00,--
0,0, 9235.487, 1.000,-90.0,--,--,--, 1.233, 0.000,-5.000, 1.772, 2.22,  -0.49, 0.59, 2.19,  -0.55,-12.88,False,False,False, 0.98,-0.17, 1.36, 2.22, 0.07,-0.02, 0.00, 0.00, 0.00,-1.49, 12.88, 0.47,-0.03,-1.11, 0.00, 0.30, 518.552, 0.081, 1.868, 0.015, 1.06,-0.10, 1.47, 2.06, 0.00, 0.00, 1.00, 0.00, 0.00,--
0,0, 9235.532, 1.000,-90.0,--,--,--, 1.236, 0.000,-5.000, 1.827, 2.27,  -0.15, 0.40, 2.26,  -0.26,-10.49,False,False,False, 1.08,-0.17, 1.36, 2.27, 0.09,-0.01, 0.00, 0.00, 0.00,-1.46, 10.49, 0.34, 0.07,-1.13, 0.00,-1.70, 518.552, 0.081, 1.868, 0.015, 1.06,-0.10, 1.47, 2.06, 0.00, 0.00, 1.00, 0.00, 0.00,--
0,0, 9235.590, 1.000,-90.0,--,--,--, 1.236, 0.000,-5.000, 1.827, 2.32,   0.27, 0.83, 2.26,  -0.26, -6.82,False,False,False, 1.23,-0.17, 1.36, 2.32, 0.09, 0.01, 0.00, 0.00, 0.00,-1.12, 6.82, 0.09, 0.10,-0.96, 0.00,-1.70, 519.164,-0.374, 3.089, 0.040, 1.32,-0.10, 1.47, 2.14, 0.00, 0.00, 0.50, 0.00, 0.00,--
0,0, 9235.624, 1.000,-76.8,--,--,--, 1.240, 5.000, 5.000, 1.874, 2.33,   0.67, 0.53, 2.33,   0.63, -4.92,False,False,False, 1.32,-0.17, 1.36, 2.33, 0.09, 0.03, 0.00, 0.00, 0.00,-0.94, 4.92,-0.20,-0.06,-0.74, 0.00, 9.90, 519.164,-0.374, 3.089, 0.040, 1.32,-0.10, 1.47, 2.14, 0.00, 0.00, 0.50, 0.00, 0.00,--
0,0, 9235.692,-1.000,-76.7,--,--,--, 1.240, 5.000, 5.000, 1.868, 2.31,   0.84,-1.05, 2.32,   1.05, -2.37,False,False,False, 1.47,-0.17, 1.36, 2.31, 0.09, 0.03, 0.00, 0.00, 0.00,-0.78, 2.37,-0.65, 0.09,-0.74, 0.00,-2.50, 509.786,-0.130,-3.218, 0.099, 1.61,-0.10, 1.47, 2.16, 0.00, 0.00, 0.00, 0.00, 0.00,--
0,0, 9235.734,-1.000,-76.7,--,--,--, 1.241, 0.000,-5.000, 1.843, 2.28,  -0.73,-1.56, 2.29,  -0.30, -0.47,False,False,False, 1.57,-0.17, 1.36, 2.28, 0.09,-0.03, 0.00, 0.00, 0.00,-0.63, 0.47,-0.95, 0.08,-0.96, 0.00,-3.60, 509.786,-0.130,-3.218, 0.099, 1.61,-0.10, 1.47, 2.16, 0.00, 0.00, 0.00, 0.00, 0.00,--
0,0, 9235.793,-1.000,-76.7,--,--,--, 1.241, 0.000,-5.000, 1.843, 2.23,  -2.99,-0.82, 2.29,  -0.30,  3.02,False,False,False, 1.71,-0.17, 1.35, 2.22, 0.09,-0.12, 0.00, 0.00, 0.00,-0.36,-3.02,-1.58, 0.07,-1.03, 0.00, 9.80, 435.984,-0.266,-3.266, 0.117, 1.65,-0.10, 1.37, 2.16, 0.00, 0.04, 0.00, 0.00, 0.50,--
0,0, 9235.827, 1.000,-90.0,--,--,--, 1.251, 0.000,-5.000, 1.746, 2.18,  -3.90,-0.11, 2.19,  -3.77,  5.24,False,False,False, 1.80,-0.17, 1.35, 2.17, 0.09,-0.15, 0.00, 0.00, 0.00,-0.25,-5.24,-1.89, 0.03,-0.80, 0.00, 12.10, 504.995,-0.412,-1.941, 0.176, 1.65,-0.10, 1.37, 2.16, 0.00, 0.04, 0.00, 0.00, 0.50,--
0,0, 9235.885, 1.000,0.0,--,--,--, 1.259, 0.000,-5.000, 1.671, 2.07,  -4.34, 0.76, 2.11,  -4.33,  7.30,False,False,False, 1.94,-0.17, 1.34, 2.07, 0.07,-0.16, 0.00, 0.00, 0.00,-0.00,-7.30,-2.54, 0.02,-0.23, 0.00, 10.20, 504.995,-0.412,-1.941, 0.176, 1.86,-0.10, 1.37, 2.16, 0.00, 0.09, 0.00, 0.00, 0.50,--
0,0, 9235.934, 1.000,-90.0,--,--,--, 1.267, 0.000,-5.000, 1.579, 1.98,  -3.96, 0.83, 2.01,  -4.07,  7.62,False,False,False, 2.02,-0.17, 1.33, 1.98, 0.07,-0.14, 0.00, 0.00, 0.00,-0.04,-7.62,-3.02,-0.07, 0.10, 0.00, 12.80, 504.995,-0.412,-1.941, 0.176, 1.86,-0.10, 1.37, 2.16, 0.00, 0.09, 0.00, 0.00, 0.50,--
0,0, 9235.987,-1.000,0.0,--,--,--, 1.273, 0.000,-5.000, 1.489, 1.86,  -3.02, 1.06, 1.90,  -3.42,  6.98,False,False,False, 2.14,-0.17, 1.32, 1.86, 0.06,-0.10, 0.00, 0.00, 0.00, 0.09,-6.98,-3.66, 0.01, 0.51, 0.00, 11.00, 537.819,-0.906,-2.507, 0.233, 2.08,-0.10, 1.38, 2.16, 0.00, 0.14, 0.00, 0.00, 0.50,--
0,0, 9236.030,-1.000,-90.0,--,--,--, 1.278, 0.000,-5.000, 1.405, 1.78,  -1.93, 1.16, 1.80,  -2.26,  5.71,False,False,False, 2.22,-0.17, 1.32, 1.78, 0.06,-0.06, 0.00, 0.00, 0.00, 0.12,-5.71,-3.98,-0.05, 0.66, 0.00, 0.40, 537.819,-0.906,-2.507, 0.233, 2.08,-0.10, 1.38, 2.16, 0.00, 0.14, 0.00, 0.00, 0.50,--
0,0, 9236.074,-1.000,-90.0,--,--,--, 1.280, 0.000,-5.000, 1.333, 1.71,  -0.57, 1.32, 1.71,  -0.58,  3.97,False,False,False, 2.29,-0.17, 1.32, 1.71, 0.06,-0.02, 0.00, 0.00, 0.00, 0.01,-3.97,-4.29,-0.11, 0.90, 0.00, 6.20, 559.429,-0.246, 2.788, 0.262, 2.30,-0.10, 1.40, 2.16, 0.00, 0.19, 0.00, 0.00, 0.50,--
0,0, 9236.131,-1.000,-71.3,--,--,--, 1.279, 5.000, 5.000, 1.279, 1.63,   2.08, 1.27, 1.64,   1.58,  0.95,False,False,False, 2.40,-0.17, 1.32, 1.63, 0.06, 0.06, 0.00, 0.00, 0.00,-0.04,-0.95,-4.60,-0.10, 0.89, 0.00,-0.50, 570.846, 0.000, 1.715, 0.302, 2.30,-0.10, 1.40, 2.16, 0.00, 0.19, 0.00, 0.00, 0.50,--
